onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2208	Celebration	1	Other	9705	2.0
40	10	2092	Clowns	2	Past	8198	1.0
56	10	2312	Poverty	3	Other	7121	2.0
72	10	CS13	Control Stimulus	4	Control	1946	1.0
88	10	2360	Home	5	Past	10490	2.0
104	10	2091	Friends	6	Null	0	n/a
120	10	2191	HardWork	7	Future	9519	2.0
136	10	2391	Outdoors	8	Other	10163	2.0
152	10	CS14	Control Stimulus	9	Control	1919	3.0
168	10	2224	Amusement	10	Other	9376	2.0
184	10	2205	Loss	11	Future	11560	2.0
200	10	2272	Alone	12	Past	10926	1.0
216	10	2340	Laughter	13	Future	9886	2.0
232	10	2331	White	14	Null	0	n/a
248	10	2399	Headache	15	Past	11600	3.0
264	10	9421	War	16	Null	0	n/a
280	10	CS09	Control Stimulus	17	Control	1434	3.0
296	10	2310	Admire	18	Null	0	n/a
312	10	2130	Anger	19	Other	7245	1.0
328	10	2346	Waterfall	20	Past	10280	2.0
344	10	1601	Zoo	21	Future	10650	2.0
360	10	CS11	Control Stimulus	22	Control	1556	1.0
376	10	2160	Nurture	23	Null	0	n/a
392	10	2209	Preparation	24	Past	10453	3.0
408	10	1112	Danger	25	Future	9781	2.0
424	10	CS15	Control Stimulus	26	Control	1337	3.0
440	10	CS16	Control Stimulus	27	Control	1679	1.0
456	10	2150	Safe	28	Other	9231	2.0
472	10	2341	Children	29	Future	10093	3.0
488	10	2216	Cooperation	30	Null	0	n/a
